pt_tau_1_regress,pt_tau_2_regress
105.36705847471681,85.66656708329363
59.775771757952185,60.426034947377985
67.98855040579194,60.96766344607916
279.9124249234778,233.57187590196082
65.3451151044124,59.27332166502485
74.08536804120452,65.99541834788238
75.21076138860585,57.38564593612725
109.25977515033418,132.04428256095568
79.82126324682837,74.13501354334886
71.61820744453851,60.00407468934984
90.98123605158901,65.0718317668132
103.6477643647995,60.406867072322875
54.68976094640694,61.13194094699582
65.37891404271403,54.374507868221606
94.32007142263762,65.09927720855278
205.66243586209617,154.37478764621684
71.22452839800785,49.75560085186458
61.21953671090538,55.706319747263834
177.1209422756817,154.55941105166085
63.86712826854449,60.01639002956243
131.31880556278176,95.41216998411176
70.52599213100561,65.6606061353794
61.99499502624094,64.30870366697484
84.20449465571481,55.91343710808416
54.34313259760557,48.589535225037814
63.415494333375825,64.00063158347
65.93963383353868,61.097896550365185
67.79226257037796,60.40144341713515
145.56137512916163,74.36476210722074
68.14641001030515,55.46964773888231
91.85454502660117,59.62634332723468
130.77300871464365,96.16641900932076
75.31275299329725,53.47897888735872
76.17249330431837,49.930746186981274
75.19218421934944,52.584382809374674
69.81131547449142,56.04494032375979
76.27358663665422,80.4022975363532
55.640701311496755,47.78261477861738
62.296905558082166,60.95598719791693
68.61182625138593,46.95531616162304
81.54135940978142,53.97367634985147
59.43148604699621,56.406358471721
61.86958064021068,75.63273309837585
54.91561767806997,73.48809567426042
68.64647295541013,54.28118723849156
83.09340899371762,53.83103346829345
60.9914640192147,64.55746995063517
73.94087844052423,49.05640023383485
100.62847454544446,52.291312497823746
63.22162496045129,62.85098696994065
72.26954201343726,54.69764946683563
83.53296535090287,49.67908861995461
77.10541394291823,49.88254883625079
92.60031298893541,63.61442527994701
55.90660934651004,66.4273290323882
93.27111484585151,66.19506170321903
101.93218383467985,46.98926829350414
120.41657395856068,104.865498388503
101.1622357715209,57.56167108012141
72.03019263578781,57.864575253311614
65.4858822778304,59.17508307763633
55.92406911180312,54.252904767540805
67.91700345411732,55.327068106065695
53.93991950005244,65.2030587619181
70.79420919383178,54.576803992770486
56.66577932270784,73.3200386834779
76.4968362040831,55.742715009418646
58.80748755727947,58.97344377208422
288.4079877223602,128.9365710293383
65.61375350169709,58.82734124121626
144.1834244598331,80.18977142817405
69.12902593688031,52.276870572126036
81.1052861736541,49.037008802932284
62.89985050029833,58.136357849549626
57.382596580686474,53.40839454860322
76.66708642623432,54.352947113751924
65.66481357708135,61.657501777240924
66.85824183121954,55.1019345043571
52.052137361650765,61.110384449998776
94.22277135496067,70.30902821363175
71.76827046224727,52.28668268743151
132.69205369792184,132.27917040717048
74.05406191822031,58.54799000438264
148.19454406195493,78.88428844659492
73.00807660709147,47.75693951013774
99.6602366281805,55.531404543819704
96.72414160231551,49.69306757287996
75.73889850931336,57.79848884903953
125.07522495234116,91.9621964892498
77.48310170361113,65.27947019116192
69.42537592393438,57.82592330564588
62.2830149560025,58.026055589830136
59.679862450726176,58.37067294285914
100.69561933361204,46.59733994697154
57.550682069762395,52.57891048789015
112.09953624321047,98.8913124111156
58.63077936020238,64.0001331340301
95.76008056756064,84.39007930558977
65.82802783153595,59.2334480624614
55.425408107602486,57.33263190227782
60.1439215621874,61.495066075195396
136.71049308333738,89.95602281662129
66.75872483492932,58.18896867176703
58.745912452000944,77.97792885015437
82.89120416648966,55.77240470076591
158.29520247959962,77.95770262581195
81.49085722064295,53.45582946459737
95.2791574780024,43.39175445105366
